census_tract_fips,population_total,population_under_18,pct_white,pct_black,pct_asian,pct_other,pct_hispanic,pct_white_nh,pct_black_nh,pct_asian_nh,pct_other_nh,median_income,median_income_2010_adj,pct_poverty,pct_poverty_under_18,pct_assisted_income,pct_no_hs,pct_hs,pct_bach,pct_higher_than_bach,pct_hs_dropout,pct_female_hh,pct_single_parent,pct_unemployed,pct_vacant_housing,pct_owner_occupied,median_rent,median_rent_2010_adj,median_home_value,median_home_value_2010_adj,area_m2
010030101,3470,1407,58,42,0,0,100,NA,NA,NA,NA,NA,NA,35,38,11,75,21,4,0,30,NA,NA,3,15,78,NA,NA,NA,NA,1009714531
010030102,1638,642,94,6,1,0,100,NA,NA,NA,NA,NA,NA,19,20,6,74,25,1,0,18,NA,NA,2,5,81,NA,NA,NA,NA,227997047
010030103,2555,1084,79,21,0,0,NA,NA,NA,NA,NA,NA,NA,22,22,5,68,30,1,1,15,NA,NA,2,3,83,NA,NA,NA,NA,362403628
010030104,2427,906,89,11,0,0,NA,NA,NA,NA,NA,NA,NA,24,27,4,73,22,3,2,38,NA,NA,2,7,82,NA,NA,NA,NA,753466433
010030105,3743,1353,92,8,0,0,100,NA,NA,NA,NA,NA,NA,13,15,1,47,43,7,4,20,NA,NA,3,4,72,NA,NA,NA,NA,10947378
010030106,2984,1191,67,33,0,0,92,NA,NA,NA,NA,NA,NA,30,30,7,66,29,4,2,22,NA,NA,2,4,62,NA,NA,NA,NA,6884303
010030107,6121,2328,70,30,0,0,56,NA,NA,NA,NA,NA,NA,16,16,4,51,37,8,3,19,NA,NA,2,5,84,NA,NA,NA,NA,310558007
010030108,2340,1019,57,43,0,0,NA,NA,NA,NA,NA,NA,NA,19,18,3,56,36,4,4,23,NA,NA,1,2,80,NA,NA,NA,NA,10672038
010030109,8257,3058,92,7,0,0,100,NA,NA,NA,NA,NA,NA,20,20,4,64,33,2,1,20,NA,NA,3,5,79,NA,NA,NA,NA,446454601
010030110,1943,714,87,13,1,0,100,NA,NA,NA,NA,NA,NA,19,18,2,63,32,2,2,33,NA,NA,1,9,79,NA,NA,NA,NA,131616968
010030111,3140,1187,74,26,0,0,NA,NA,NA,NA,NA,NA,NA,23,24,4,56,37,4,2,21,NA,NA,3,9,80,NA,NA,NA,NA,99223171
010030112,5720,1831,92,8,0,0,52,NA,NA,NA,NA,NA,NA,9,12,3,39,51,8,3,9,NA,NA,2,7,72,NA,NA,NA,NA,6985502
010030113,1702,611,85,15,0,0,93,NA,NA,NA,NA,NA,NA,23,37,2,57,34,7,2,26,NA,NA,1,45,82,NA,NA,NA,NA,66764346
010030114,7048,2407,87,12,0,0,66,NA,NA,NA,NA,NA,NA,20,24,2,61,33,4,2,26,NA,NA,2,39,79,NA,NA,NA,NA,451224272
010030115,3368,1261,78,22,0,0,100,NA,NA,NA,NA,NA,NA,20,20,5,58,36,4,2,18,NA,NA,2,6,69,NA,NA,NA,NA,17639122
010030116,2926,1048,94,6,0,0,0,NA,NA,NA,NA,NA,NA,9,9,1,59,38,2,1,12,NA,NA,3,20,85,NA,NA,NA,NA,319714683
010330201,5160,1661,96,4,0,0,0,NA,NA,NA,NA,NA,NA,12,13,2,53,41,4,2,24,NA,NA,4,5,67,NA,NA,NA,NA,5009736
01033020199,23,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
010330202,2672,694,96,4,0,0,NA,NA,NA,NA,NA,NA,NA,19,20,3,49,40,6,5,20,NA,NA,2,7,56,NA,NA,NA,NA,2760857
010330203,3910,1498,42,58,0,0,0,NA,NA,NA,NA,NA,NA,32,35,7,74,24,1,1,32,NA,NA,5,5,54,NA,NA,NA,NA,6707352
010330204,1377,518,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,5,2,15,62,15,8,0,NA,NA,1,7,91,NA,NA,NA,NA,5192988
